"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4006_202409.csv"
"C","Report for: 09 2024"
"C","Report generated: 03/08/2025 14:30:39 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4006,"09/01/2024",01,"OFF",42.9,17.04,0.34,0.03,0.03,0,0.28,0,-0.31,-0.14,0,,0.48,0.47,0.23,0,,61.35,1533.235
"D",4006,"09/01/2024",02,"OFF",28.35,17.04,0.34,0.03,0,0,0.01,-0.02,-0.11,-0.14,0,,0.48,0.47,0.23,0,,46.68,1462.705
"D",4006,"09/01/2024",03,"OFF",21.95,17.04,0.34,0.03,0,0,0,0.02,-0.16,-0.14,0,,0.48,0.47,0.23,0,,40.26,1412.188
"D",4006,"09/01/2024",04,"OFF",20.86,17.04,0.34,0.03,0,0,0,0.01,-0.12,-0.14,0,,0.48,0.47,0.23,0,,39.2,1375.463
"D",4006,"09/01/2024",05,"OFF",20.84,17.04,0.34,0.03,0,0,0,0.04,-0.14,-0.14,0,,0.48,0.47,0.23,0,,39.19,1368.566
"D",4006,"09/01/2024",06,"OFF",20.78,17.04,0.34,0.03,0,0,0,0.02,-0.16,-0.14,0,,0.48,0.47,0.23,0,,39.09,1385.853
"D",4006,"09/01/2024",07,"OFF",20.94,17.04,0.34,0.03,0.15,0,0,0,-0.14,-0.14,0,,0.48,0.47,0.23,0,,39.4,1423.996
"D",4006,"09/01/2024",08,"OFF",21.24,17.04,0.34,0.03,0.14,0,0,0.01,-0.18,-0.14,0,,0.48,0.47,0.23,0,,39.66,1484.224
"D",4006,"09/01/2024",09,"OFF",24.05,17.04,0.34,0.03,0.03,0,0,-0.01,-0.21,-0.14,0,,0.48,0.47,0.23,0,,42.31,1604.576
"D",4006,"09/01/2024",10,"OFF",38.43,17.04,0.34,0.03,0,0,0.22,0.09,-0.2,-0.14,0,,0.48,0.47,0.23,0,,56.99,1735.036
"D",4006,"09/01/2024",11,"OFF",23.56,17.04,0.34,0.03,0.33,0,0,0.02,-0.22,-0.14,0,,0.48,0.47,0.23,0,,42.14,1804.702
"D",4006,"09/01/2024",12,"OFF",25.4,17.04,0.34,0.03,0.03,0,0,0.01,-0.24,-0.14,0,,0.48,0.47,0.23,0,,43.65,1875.157
"D",4006,"09/01/2024",13,"OFF",27,17.04,0.34,0.03,0,0,0,0.03,-0.22,-0.14,0,,0.48,0.47,0.23,0,,45.26,1962.931
"D",4006,"09/01/2024",14,"OFF",27.05,17.04,0.34,0.03,0,0,0,0.01,-0.27,-0.14,0,,0.48,0.47,0.23,0,,45.24,2000.143
"D",4006,"09/01/2024",15,"OFF",34.92,17.04,0.34,0.03,0,0,0.02,0.03,-0.2,-0.14,0,,0.48,0.47,0.23,0,,53.22,2011.898
"D",4006,"09/01/2024",16,"OFF",28.87,17.04,0.34,0.03,0,0,0,0.01,-0.15,-0.14,0,,0.48,0.47,0.23,0,,47.18,2048.142
"D",4006,"09/01/2024",17,"OFF",24.85,17.04,0.34,0.03,0.15,0,0,0.01,-0.22,-0.14,0,,0.48,0.47,0.23,0,,43.24,2085.412
"D",4006,"09/01/2024",18,"OFF",24.36,17.04,0.34,0.03,0.03,0,0,0.03,-0.2,-0.14,0,,0.48,0.47,0.23,0,,42.67,2066.038
"D",4006,"09/01/2024",19,"OFF",29.99,17.04,0.34,0.03,0,0,0,0.01,-0.23,-0.14,0,,0.48,0.47,0.23,0,,48.22,2050.917
"D",4006,"09/01/2024",20,"OFF",28.58,17.04,0.34,0.03,0,0,0,0.03,-0.25,-0.14,0,,0.48,0.47,0.23,0,,46.81,2044.448
"D",4006,"09/01/2024",21,"OFF",41.52,17.04,0.34,0.03,0,0,0,-0.06,-0.18,-0.14,0,,0.48,0.47,0.23,0,,59.73,2012.679
"D",4006,"09/01/2024",22,"OFF",36.83,17.04,0.34,0.03,0.06,0,0,-0.05,-0.17,-0.14,0,,0.48,0.47,0.23,0,,55.12,1931.777
"D",4006,"09/01/2024",23,"OFF",41.05,17.04,0.34,0.03,0.16,0,0.09,0.03,-0.11,-0.14,0,,0.48,0.47,0.23,0,,59.67,1822.296
"D",4006,"09/01/2024",24,"OFF",46.28,17.04,0.34,0.03,0.3,0,0.24,0,-0.1,-0.14,0,,0.48,0.47,0.23,0,,65.17,1687.674
"D",4006,"09/02/2024",01,"OFF",33.09,17.04,0.2,0.06,0,0,0,0.04,-0.2,-0.14,0,,0.48,0.47,0.23,0,,51.27,1579.908
"D",4006,"09/02/2024",02,"OFF",37.75,17.04,0.2,0.06,0,0,0,0.01,-0.13,-0.14,0,,0.48,0.47,0.23,0,,55.97,1490.697
"D",4006,"09/02/2024",03,"OFF",32.51,17.04,0.2,0.06,0,0,0,0.03,-0.04,-0.14,0,,0.48,0.47,0.23,0,,50.84,1434.614
"D",4006,"09/02/2024",04,"OFF",28.03,17.04,0.2,0.06,0,0,0,-0.01,-0.09,-0.14,0,,0.48,0.47,0.23,0,,46.27,1390.441
"D",4006,"09/02/2024",05,"OFF",23.84,17.04,0.2,0.06,0,0,0,0.03,-0.11,-0.14,0,,0.48,0.47,0.23,0,,42.1,1379.489
