"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4008_202404.csv"
"C","Report for: 04 2024"
"C","Report generated: 03/08/2025 14:29:35 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4008,"04/01/2024",01,"OFF",19.37,11.45,0.49,0.09,0.08,0,0,-0.04,-0.1,-0.14,0,,0.48,0.47,0.23,0,,32.38,2055.733
"D",4008,"04/01/2024",02,"OFF",20.17,11.45,0.49,0.09,0.06,0,0,-0.03,-0.11,-0.14,0,,0.48,0.47,0.23,0,,33.16,1998.768
"D",4008,"04/01/2024",03,"OFF",21.31,11.45,0.49,0.09,0.06,0,0,-0.05,-0.11,-0.14,0,,0.48,0.47,0.23,0,,34.28,1979.764
"D",4008,"04/01/2024",04,"OFF",21.74,11.45,0.49,0.09,0,0,0,-0.05,-0.11,-0.14,0,,0.48,0.47,0.23,0,,34.65,1983.919
"D",4008,"04/01/2024",05,"OFF",19.12,11.45,0.49,0.09,0,0,0,-0.06,-0.11,-0.14,0,,0.48,0.47,0.23,0,,32.02,2053.647
"D",4008,"04/01/2024",06,"OFF",18.56,11.45,0.49,0.09,0.07,0,0,-0.02,-0.14,-0.14,0,,0.48,0.47,0.23,0,,31.54,2214.479
"D",4008,"04/01/2024",07,"OFF",23.96,11.45,0.49,0.09,0.13,0,0,-0.03,-0.04,-0.14,0,,0.48,0.47,0.23,0,,37.09,2476.636
"D",4008,"04/01/2024",08,"ON",39.75,11.45,0.49,0.09,0.18,1.01,0,-0.02,-0.2,-0.14,0,,0.48,0.47,0.23,0,,53.79,2652.904
"D",4008,"04/01/2024",09,"ON",36.67,11.45,0.49,0.09,0.01,1.02,0.01,-0.01,0.03,-0.14,0,,0.48,0.47,0.23,0,,50.8,2672.225
"D",4008,"04/01/2024",10,"ON",39.4,11.45,0.49,0.09,0,1.03,0.01,-0.05,-0.11,-0.14,0,,0.48,0.47,0.23,0,,53.35,2622.512
"D",4008,"04/01/2024",11,"ON",36.64,11.45,0.49,0.09,0,1.04,0,-0.02,-0.11,-0.14,0,,0.48,0.47,0.23,0,,50.62,2670.776
"D",4008,"04/01/2024",12,"ON",36.63,11.45,0.49,0.09,0.04,1.05,0.01,-0.08,-0.11,-0.14,0,,0.48,0.47,0.23,0,,50.61,2705.018
"D",4008,"04/01/2024",13,"ON",49.4,11.45,0.49,0.09,0,1.06,0.01,0.03,-0.11,-0.14,0,,0.48,0.47,0.23,0,,63.46,2738.874
"D",4008,"04/01/2024",14,"ON",28.58,11.45,0.49,0.09,0,1.09,0,0.06,-0.02,-0.14,0,,0.48,0.47,0.23,0,,42.78,2673.457
"D",4008,"04/01/2024",15,"ON",18.73,11.45,0.49,0.09,0,1.17,0,0.06,-0.08,-0.14,0,,0.48,0.47,0.23,0,,32.95,2468.959
"D",4008,"04/01/2024",16,"ON",17.96,11.45,0.49,0.09,0,1.17,0,-0.02,-0.1,-0.14,0,,0.48,0.47,0.23,0,,32.08,2484.318
"D",4008,"04/01/2024",17,"ON",21.06,11.45,0.49,0.09,0,1.09,0,0.09,-0.14,-0.14,0,,0.48,0.47,0.23,0,,35.17,2584.68
"D",4008,"04/01/2024",18,"ON",19.57,11.45,0.49,0.09,0,1.05,0,0.03,-0.19,-0.14,0,,0.48,0.47,0.23,0,,33.53,2618.496
"D",4008,"04/01/2024",19,"ON",32.08,11.45,0.49,0.09,0,1.01,0.13,-0.09,0.01,-0.14,0,,0.48,0.47,0.23,0,,46.21,2662.507
"D",4008,"04/01/2024",20,"ON",59.58,11.45,0.49,0.09,0,0.97,0.05,0,-0.22,-0.14,0,,0.48,0.47,0.23,0,,73.45,2743.471
"D",4008,"04/01/2024",21,"ON",36.98,11.45,0.49,0.09,0,0.99,0,-0.04,-0.1,-0.14,0,,0.48,0.47,0.23,0,,50.9,2705.317
"D",4008,"04/01/2024",22,"ON",33.29,11.45,0.49,0.09,0.88,1.05,0.19,0.01,-0.16,-0.14,0,,0.48,0.47,0.23,0,,48.33,2581.846
"D",4008,"04/01/2024",23,"ON",22.45,11.45,0.49,0.09,0.16,1.14,0,0,-0.1,-0.14,0,,0.48,0.47,0.23,0,,36.72,2405.689
