"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4008_202408.csv"
"C","Report for: 08 2024"
"C","Report generated: 03/08/2025 14:30:32 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4008,"08/01/2024",01,"OFF",54.1,13.58,3.23,0.74,0.3,0,0,0.02,0.08,-0.1,-0.12,,0.48,0.46,0.23,0,,73,3221.906
"D",4008,"08/01/2024",02,"OFF",33.45,13.58,3.23,0.74,0.07,0,0,0.02,-0.15,-0.1,-0.02,,0.48,0.46,0.23,0,,51.99,3075.211
"D",4008,"08/01/2024",03,"OFF",31.45,13.58,3.23,0.74,0.09,0,0,-0.01,-0.18,-0.1,0,,0.48,0.46,0.23,0,,49.97,2985.078
"D",4008,"08/01/2024",04,"OFF",31.81,13.58,3.23,0.74,0.01,0,0,0,-0.18,-0.1,0,,0.48,0.46,0.23,0,,50.26,2930.361
"D",4008,"08/01/2024",05,"OFF",34.99,13.58,3.23,0.74,0,0,0,-0.02,-0.16,-0.1,0,,0.48,0.46,0.23,0,,53.43,2933.503
"D",4008,"08/01/2024",06,"OFF",30.93,13.58,3.23,0.74,0.14,0,0,0.06,-0.23,-0.1,0,,0.48,0.46,0.23,0,,49.52,3035.42
"D",4008,"08/01/2024",07,"OFF",41.99,13.58,3.23,0.74,0.24,0,0,-0.02,-0.04,-0.1,0,,0.48,0.46,0.23,0,,60.79,3260.684
"D",4008,"08/01/2024",08,"ON",53.44,13.58,3.23,0.74,0.39,1.11,0.26,-0.01,0.06,-0.1,-0.07,,0.48,0.46,0.23,0,,73.8,3526.073
"D",4008,"08/01/2024",09,"ON",44.66,13.58,3.23,0.74,0.11,1.06,0,0.12,-0.15,-0.1,-0.04,,0.48,0.46,0.23,0,,64.38,3723.883
"D",4008,"08/01/2024",10,"ON",48.92,13.58,3.23,0.74,0.19,1.01,0.05,0.02,-0.12,-0.1,0,,0.48,0.46,0.23,0,,68.69,3921.619
"D",4008,"08/01/2024",11,"ON",39.57,13.58,3.23,0.74,0.14,0.97,0,0.04,-0.15,-0.1,0.07,,0.48,0.46,0.23,0,,59.26,4073.709
"D",4008,"08/01/2024",12,"ON",60.18,13.58,3.23,0.74,0.01,0.74,0.09,0.06,-0.07,-0.1,0.11,,0.48,0.46,0.23,0,,79.74,4232.256
"D",4008,"08/01/2024",13,"ON",110.35,13.58,3.23,0.74,0.23,0.68,0.5,-0.22,0.13,-0.1,0,,0.48,0.46,0.23,0,,130.29,4408.98
"D",4008,"08/01/2024",14,"ON",75.45,13.58,3.23,0.74,0.48,0.67,0,0.06,-0.3,-0.1,0.09,,0.48,0.46,0.23,0,,95.07,4565.12
"D",4008,"08/01/2024",15,"ON",82.06,13.58,3.23,0.74,0.21,0.79,0.09,-0.07,-0.12,-0.1,-0.01,,0.48,0.46,0.23,0,,101.57,4637.86
"D",4008,"08/01/2024",16,"ON",94.8,13.58,3.23,0.74,0.21,0.8,0.19,-0.12,-0.34,-0.1,0.03,,0.48,0.46,0.23,0,,114.19,4750.437
"D",4008,"08/01/2024",17,"ON",260.08,13.58,3.23,0.74,0.38,0.43,6.46,-1.21,3.24,-0.1,0.4,,0.48,0.46,0.23,0,,288.4,4800.329
"D",4008,"08/01/2024",18,"ON",1135.72,13.58,3.23,0.74,2.4,-1.87,40.64,0.21,5.81,-0.1,0.96,,0.48,0.46,0.23,0,,1202.49,4758.339
"D",4008,"08/01/2024",19,"ON",2165.32,13.58,3.23,0.74,15.26,-5.84,90.15,1.12,2.4,-0.1,-0.4,,0.48,0.46,0.23,0,,2286.63,4657.089
