"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4003_202410.csv"
"C","Report for: 10 2024"
"C","Report generated: 03/08/2025 14:30:40 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4003,"10/01/2024",01,"OFF",24.18,7.88,0.22,0.03,0.01,0,0,0.06,-0.8,-0.14,0,,0.48,0.46,0.23,0,,32.61,472.725
"D",4003,"10/01/2024",02,"OFF",24.13,7.88,0.22,0.03,0,0,0,0.06,-0.74,-0.14,0,,0.48,0.46,0.23,0,,32.61,458.314
"D",4003,"10/01/2024",03,"OFF",22.96,7.88,0.22,0.03,0,0,0,-0.03,-0.7,-0.14,0,,0.48,0.46,0.23,0,,31.39,447.991
"D",4003,"10/01/2024",04,"OFF",22.53,7.88,0.22,0.03,0,0,0,0.01,-0.7,-0.14,0,,0.48,0.46,0.23,0,,31,445.01
"D",4003,"10/01/2024",05,"OFF",22.74,7.88,0.22,0.03,0,0,0,0.01,-0.68,-0.14,0,,0.48,0.46,0.23,0,,31.23,458.19
"D",4003,"10/01/2024",06,"OFF",23.27,7.88,0.22,0.03,0.08,0,0,0.09,-0.65,-0.14,0,,0.48,0.46,0.23,0,,31.95,495.873
"D",4003,"10/01/2024",07,"OFF",25.18,7.88,0.22,0.03,0.15,0,0,0.04,-0.82,-0.14,0,,0.48,0.46,0.23,0,,33.71,562.333
"D",4003,"10/01/2024",08,"ON",39.89,7.88,0.22,0.03,0.23,0.94,0,0.01,-1.25,-0.14,0,,0.48,0.46,0.23,0,,48.98,594.16
"D",4003,"10/01/2024",09,"ON",30.61,7.88,0.22,0.03,0.02,0.94,0.02,0.02,-0.84,-0.14,0,,0.48,0.46,0.23,0,,39.93,543.278
"D",4003,"10/01/2024",10,"ON",36.18,7.88,0.22,0.03,0,0.95,0.14,-0.04,-1.02,-0.14,0,,0.48,0.46,0.23,0,,45.37,437.331
"D",4003,"10/01/2024",11,"ON",25.85,7.88,0.22,0.03,0,0.96,0,0.01,-0.69,-0.14,0,,0.48,0.46,0.23,0,,35.29,354.999
"D",4003,"10/01/2024",12,"ON",25,7.88,0.22,0.03,0.01,0.96,0,0,-0.74,-0.14,0,,0.48,0.46,0.23,0,,34.39,351.542
