"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4005_202408.csv"
"C","Report for: 08 2024"
"C","Report generated: 03/08/2025 14:30:36 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4005,"08/01/2024",01,"OFF",52.74,13.58,3.23,0.74,0.3,0,0,0.02,0.08,-0.12,0,,0.48,0.46,0.23,0,,71.74,1024.484
"D",4005,"08/01/2024",02,"OFF",32.64,13.58,3.23,0.74,0.07,0,0,0.02,-0.15,-0.12,0,,0.48,0.46,0.23,0,,51.18,969.361
"D",4005,"08/01/2024",03,"OFF",30.63,13.58,3.23,0.74,0.09,0,0,-0.01,-0.18,-0.12,0,,0.48,0.46,0.23,0,,49.13,933.371
"D",4005,"08/01/2024",04,"OFF",30.94,13.58,3.23,0.74,0.01,0,0,0,-0.18,-0.12,0,,0.48,0.46,0.23,0,,49.37,917.258
"D",4005,"08/01/2024",05,"OFF",33.99,13.58,3.23,0.74,0,0,0,-0.02,-0.16,-0.12,0,,0.48,0.46,0.23,0,,52.41,919.893
"D",4005,"08/01/2024",06,"OFF",30.06,13.58,3.23,0.74,0.14,0,0,0.06,-0.23,-0.12,0,,0.48,0.46,0.23,0,,48.63,947.833
"D",4005,"08/01/2024",07,"OFF",40.77,13.58,3.23,0.74,0.24,0,0,-0.02,-0.04,-0.12,0,,0.48,0.46,0.23,0,,59.55,1014.597
"D",4005,"08/01/2024",08,"ON",51.85,13.58,3.23,0.74,0.39,1.11,0.26,-0.01,0.06,-0.12,0,,0.48,0.46,0.23,0,,72.26,1112.271
"D",4005,"08/01/2024",09,"ON",43.37,13.58,3.23,0.74,0.11,1.06,0,0.12,-0.15,-0.12,0,,0.48,0.46,0.23,0,,63.11,1191.674
"D",4005,"08/01/2024",10,"ON",47.51,13.58,3.23,0.74,0.19,1.01,0.05,0.02,-0.12,-0.12,0,,0.48,0.46,0.23,0,,67.26,1275.396
"D",4005,"08/01/2024",11,"ON",38.37,13.58,3.23,0.74,0.14,0.97,0,0.04,-0.15,-0.12,0,,0.48,0.46,0.23,0,,57.97,1366.347
"D",4005,"08/01/2024",12,"ON",58.31,13.58,3.23,0.74,0.01,0.74,0.09,0.06,-0.07,-0.12,0,,0.48,0.46,0.23,0,,77.74,1454.742
"D",4005,"08/01/2024",13,"ON",107.28,13.58,3.23,0.74,0.23,0.68,0.5,-0.22,0.13,-0.12,0,,0.48,0.46,0.23,0,,127.2,1528.599
"D",4005,"08/01/2024",14,"ON",73.46,13.58,3.23,0.74,0.48,0.67,0,0.06,-0.3,-0.12,0,,0.48,0.46,0.23,0,,92.97,1583.971
"D",4005,"08/01/2024",15,"ON",79.99,13.58,3.23,0.74,0.21,0.79,0.09,-0.07,-0.12,-0.12,0,,0.48,0.46,0.23,0,,99.49,1624.934
"D",4005,"08/01/2024",16,"ON",92.51,13.58,3.23,0.74,0.21,0.8,0.19,-0.12,-0.34,-0.12,0,,0.48,0.46,0.23,0,,111.85,1675.323
"D",4005,"08/01/2024",17,"ON",254.1,13.58,3.23,0.74,0.38,0.43,6.46,-1.21,3.24,-0.12,0,,0.48,0.46,0.23,0,,282,1678.717
"D",4005,"08/01/2024",18,"ON",1109.15,13.58,3.23,0.74,2.4,-1.87,40.64,0.21,5.81,-0.12,-0.05,,0.48,0.46,0.23,0,,1174.89,1662.603
"D",4005,"08/01/2024",19,"ON",2117.87,13.58,3.23,0.74,15.26,-5.84,90.15,1.12,2.4,-0.12,-0.13,,0.48,0.46,0.23,0,,2239.43,1640.577
"D",4005,"08/01/2024",20,"ON",666.48,13.58,3.23,0.74,7.06,-1.29,39.65,1.38,3.9,-0.12,-0.01,,0.48,0.46,0.23,0,,735.77,1607.858
"D",4005,"08/01/2024",21,"ON",300.24,13.58,3.23,0.74,2.68,0.16,17.24,0.03,-0.02,-0.12,0,,0.48,0.46,0.23,0,,338.93,1558.202
"D",4005,"08/01/2024",22,"ON",196.03,13.58,3.23,0.74,1.97,0.82,0.85,-0.09,0.66,-0.12,0,,0.48,0.46,0.23,0,,218.84,1466.928
"D",4005,"08/01/2024",23,"ON",93.8,13.58,3.23,0.74,1.42,0.88,2.26,-0.01,0.58,-0.12,0,,0.48,0.46,0.23,0,,117.53,1343.433
"D",4005,"08/01/2024",24,"OFF",41.76,13.58,3.23,0.74,0.45,0,0,0.03,0.07,-0.12,0,,0.48,0.46,0.23,0,,60.91,1222.242
"D",4005,"08/02/2024",01,"OFF",33.3,13.58,2.05,0.1,0.16,0,0,0,-0.12,-0.12,0,,0.48,0.46,0.23,0,,50.12,1134.535
"D",4005,"08/02/2024",02,"OFF",29.94,13.58,2.05,0.1,0.12,0,0,0.02,-0.12,-0.12,0,,0.48,0.46,0.23,0,,46.74,1063.017
"D",4005,"08/02/2024",03,"OFF",34.47,13.58,2.05,0.1,0.03,0,0,-0.01,-0.1,-0.12,0,,0.48,0.46,0.23,0,,51.17,1014.258
"D",4005,"08/02/2024",04,"OFF",29.83,13.58,2.05,0.1,0,0,0,0.03,-0.15,-0.12,0,,0.48,0.46,0.23,0,,46.49,979.691
"D",4005,"08/02/2024",05,"OFF",29.97,13.58,2.05,0.1,0,0,0,0.01,-0.16,-0.12,0,,0.48,0.46,0.23,0,,46.6,968.957
"D",4005,"08/02/2024",06,"OFF",31.16,13.58,2.05,0.1,0.13,0,0,0.04,-0.13,-0.12,0,,0.48,0.46,0.23,0,,47.98,988.484
"D",4005,"08/02/2024",07,"OFF",40.73,13.58,2.05,0.1,0.32,0,0,0.03,-0.07,-0.12,0,,0.48,0.46,0.23,0,,57.79,1042.28
"D",4005,"08/02/2024",08,"ON",38.39,13.58,2.05,0.1,0.34,1.1,0,-0.02,-0.18,-0.12,0,,0.48,0.46,0.23,0,,56.41,1143.219
"D",4005,"08/02/2024",09,"ON",34.06,13.58,2.05,0.1,0.15,1.03,0,0,-0.12,-0.12,0,,0.48,0.46,0.23,0,,51.9,1261.205
"D",4005,"08/02/2024",10,"ON",28.85,13.58,2.05,0.1,0.11,0.97,0,0.01,-0.15,-0.12,0,,0.48,0.46,0.23,0,,46.57,1371.652
"D",4005,"08/02/2024",11,"ON",47.5,13.58,2.05,0.1,0.09,0.92,0,-0.02,0.03,-0.12,0,,0.48,0.46,0.23,0,,65.3,1472.401
"D",4005,"08/02/2024",12,"ON",86.53,13.58,2.05,0.1,0.44,0.88,0.8,0.01,-0.05,-0.12,0,,0.48,0.46,0.23,0,,105.39,1546.188
"D",4005,"08/02/2024",13,"ON",71.32,13.58,2.05,0.1,0.37,0.84,0.38,0.02,-0.32,-0.12,0,,0.48,0.46,0.23,0,,89.39,1614.959
"D",4005,"08/02/2024",14,"ON",76.03,13.58,2.05,0.1,0.4,0.81,0.1,0.06,-0.28,-0.12,0,,0.48,0.46,0.23,0,,93.9,1678.14
"D",4005,"08/02/2024",15,"ON",63,13.58,2.05,0.1,0.23,0.8,0,0.01,-0.44,-0.12,0,,0.48,0.46,0.23,0,,80.38,1697.901
"D",4005,"08/02/2024",16,"ON",77.12,13.58,2.05,0.1,0.55,0.79,0.34,-0.15,-0.2,-0.12,0,,0.48,0.46,0.23,0,,95.23,1757.041
"D",4005,"08/02/2024",17,"ON",278.78,13.58,2.05,0.1,2.47,0.22,12.19,0.08,1.04,-0.12,0,,0.48,0.46,0.23,0,,311.56,1677.432
"D",4005,"08/02/2024",18,"ON",63.69,13.58,2.05,0.1,0.34,0.75,1.52,-0.06,-0.46,-0.12,0,,0.48,0.46,0.23,0,,82.56,1667.465
"D",4005,"08/02/2024",19,"ON",37.75,13.58,2.05,0.1,0.24,0.83,0.13,0.03,-0.81,-0.12,0,,0.48,0.46,0.23,0,,54.95,1615.308
"D",4005,"08/02/2024",20,"ON",39.87,13.58,2.05,0.1,0.07,0.84,0,-0.04,-0.7,-0.12,0,,0.48,0.46,0.23,0,,56.82,1569.65
"D",4005,"08/02/2024",21,"ON",61.62,13.58,2.05,0.1,0.2,0.87,0,0,-0.36,-0.12,0,,0.48,0.46,0.23,0,,79.11,1529.441
"D",4005,"08/02/2024",22,"ON",39.96,13.58,2.05,0.1,0.13,0.92,0,0,-0.15,-0.12,0,,0.48,0.46,0.23,0,,57.64,1458.783
"D",4005,"08/02/2024",23,"ON",32.41,13.58,2.05,0.1,0.18,0.98,0.01,-0.02,-0.1,-0.12,0,,0.48,0.46,0.23,0,,50.24,1366.24
"D",4005,"08/02/2024",24,"OFF",33.89,13.58,2.05,0.1,0.32,0,0,-0.03,-0.08,-0.12,0,,0.48,0.46,0.23,0,,50.88,1274.387
"D",4005,"08/03/2024",01,"OFF",42.69,13.58,1.16,0.04,0.16,0,0,-0.03,-0.01,-0.12,0,,0.48,0.46,0.23,0,,58.64,1202.861
"D",4005,"08/03/2024",02,"OFF",38.11,13.58,1.16,0.04,0.5,0,0,0,-0.04,-0.12,0,,0.48,0.46,0.23,0,,54.4,1148.677
"D",4005,"08/03/2024",03,"OFF",44.89,13.58,1.16,0.04,0.25,0,0,-0.04,0,-0.12,0,,0.48,0.46,0.23,0,,60.93,1111.566
"D",4005,"08/03/2024",04,"OFF",33.93,13.58,1.16,0.04,0.16,0,0,0.03,-0.07,-0.12,0,,0.48,0.46,0.23,0,,49.88,1089.842
"D",4005,"08/03/2024",05,"OFF",33.51,13.58,1.16,0.04,0.01,0,0,0,-0.12,-0.12,0,,0.48,0.46,0.23,0,,49.23,1075.231
"D",4005,"08/03/2024",06,"OFF",32.68,13.58,1.16,0.04,0,0,0,0.02,-0.12,-0.12,0,,0.48,0.46,0.23,0,,48.41,1075.57
"D",4005,"08/03/2024",07,"OFF",36.57,13.58,1.16,0.04,0.07,0,0,0.03,-0.1,-0.12,0,,0.48,0.46,0.23,0,,52.4,1088.826
"D",4005,"08/03/2024",08,"OFF",32.88,13.58,1.16,0.04,0.16,0,0,0.01,-0.12,-0.12,0,,0.48,0.46,0.23,0,,48.76,1143.38
"D",4005,"08/03/2024",09,"OFF",34.2,13.58,1.16,0.04,0.19,0,0,0.02,-0.15,-0.12,0,,0.48,0.46,0.23,0,,50.09,1227.689
"D",4005,"08/03/2024",10,"OFF",35.3,13.58,1.16,0.04,0.21,0,0,0.02,-0.15,-0.12,0,,0.48,0.46,0.23,0,,51.21,1325.865
"D",4005,"08/03/2024",11,"OFF",32.75,13.58,1.16,0.04,0.04,0,0,-0.02,-0.14,-0.12,0,,0.48,0.46,0.23,0,,48.46,1423.343
"D",4005,"08/03/2024",12,"OFF",30.28,13.58,1.16,0.04,0,0,0,0.02,-0.1,-0.12,0,,0.48,0.46,0.23,0,,46.03,1499.649
"D",4005,"08/03/2024",13,"OFF",41.95,13.58,1.16,0.04,0.16,0,0,0.02,-0.12,-0.12,0,,0.48,0.46,0.23,0,,57.84,1550.127
"D",4005,"08/03/2024",14,"OFF",35.44,13.58,1.16,0.04,0.02,0,0,0.02,-0.13,-0.12,0,,0.48,0.46,0.23,0,,51.18,1592.078
"D",4005,"08/03/2024",15,"OFF",38.3,13.58,1.16,0.04,0,0,0,0.03,-0.16,-0.12,0,,0.48,0.46,0.23,0,,54,1620.371
"D",4005,"08/03/2024",16,"OFF",39.75,13.58,1.16,0.04,0,0,0,-0.02,-0.21,-0.12,0,,0.48,0.46,0.23,0,,55.35,1645.883
"D",4005,"08/03/2024",17,"OFF",57.23,13.58,1.16,0.04,0.01,0,0,0.11,-0.27,-0.12,0,,0.48,0.46,0.23,0,,72.91,1644.574
"D",4005,"08/03/2024",18,"OFF",43.58,13.58,1.16,0.04,0.12,0,0.01,0.07,-0.46,-0.12,0,,0.48,0.46,0.23,0,,59.15,1621.412
"D",4005,"08/03/2024",19,"OFF",29.68,13.58,1.16,0.04,0.11,0,0,-0.01,-0.41,-0.12,0,,0.48,0.46,0.23,0,,45.2,1559.313
"D",4005,"08/03/2024",20,"OFF",39.96,13.58,1.16,0.04,0.25,0,0,-0.03,-0.3,-0.12,0,,0.48,0.46,0.23,0,,55.71,1470.923
"D",4005,"08/03/2024",21,"OFF",31.22,13.58,1.16,0.04,0.21,0,0,0.01,-0.27,-0.12,0,,0.48,0.46,0.23,0,,47,1408.756
"D",4005,"08/03/2024",22,"OFF",28.6,13.58,1.16,0.04,0.12,0,0,0,-0.13,-0.12,0,,0.48,0.46,0.23,0,,44.42,1342.604
"D",4005,"08/03/2024",23,"OFF",27.33,13.58,1.16,0.04,0.26,0,0,-0.02,-0.06,-0.12,0,,0.48,0.46,0.23,0,,43.34,1263.019
"D",4005,"08/03/2024",24,"OFF",25.51,13.58,1.16,0.04,0.37,0,0,-0.02,-0.06,-0.12,0,,0.48,0.46,0.23,0,,41.63,1177.256
"D",4005,"08/04/2024",01,"OFF",26.59,13.58,0.34,0.05,0.17,0,0,-0.02,-0.12,-0.12,0,,0.48,0.46,0.23,0,,41.64,1099.561
"D",4005,"08/04/2024",02,"OFF",29.83,13.58,0.34,0.05,0.25,0,0,-0.04,-0.07,-0.12,0,,0.48,0.46,0.23,0,,44.99,1036.043
"D",4005,"08/04/2024",03,"OFF",42.06,13.58,0.34,0.05,0.22,0,0,-0.15,-0.21,-0.12,0,,0.48,0.46,0.23,0,,56.94,992.545
