"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4001_202409.csv"
"C","Report for: 09 2024"
"C","Report generated: 03/08/2025 14:30:30 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4001,"09/01/2024",01,"OFF",40.48,7.74,0.34,0.03,0.03,0,0.28,0,-0.31,-0.14,0,,0.48,0.47,0.23,0,,49.63,1039.653
"D",4001,"09/01/2024",02,"OFF",27.04,7.74,0.34,0.03,0,0,0.01,-0.02,-0.11,-0.14,0,,0.48,0.47,0.23,0,,36.07,1013.742
"D",4001,"09/01/2024",03,"OFF",21.15,7.74,0.34,0.03,0,0,0,0.02,-0.16,-0.14,0,,0.48,0.47,0.23,0,,30.16,986.235
"D",4001,"09/01/2024",04,"OFF",20.15,7.74,0.34,0.03,0,0,0,0.01,-0.12,-0.14,0,,0.48,0.47,0.23,0,,29.19,972.775
"D",4001,"09/01/2024",05,"OFF",20.14,7.74,0.34,0.03,0,0,0,0.04,-0.14,-0.14,0,,0.48,0.47,0.23,0,,29.19,965.303
"D",4001,"09/01/2024",06,"OFF",20.15,7.74,0.34,0.03,0,0,0,0.02,-0.16,-0.14,0,,0.48,0.47,0.23,0,,29.16,990.95
"D",4001,"09/01/2024",07,"OFF",20.4,7.74,0.34,0.03,0.15,0,0,0,-0.14,-0.14,0,,0.48,0.47,0.23,0,,29.56,1049.219
"D",4001,"09/01/2024",08,"OFF",20.74,7.74,0.34,0.03,0.14,0,0,0.01,-0.18,-0.14,0,,0.48,0.47,0.23,0,,29.86,1116.067
"D",4001,"09/01/2024",09,"OFF",23.38,7.74,0.34,0.03,0.03,0,0,-0.01,-0.21,-0.14,0,,0.48,0.47,0.23,0,,32.34,1176.97
"D",4001,"09/01/2024",10,"OFF",37,7.74,0.34,0.03,0,0,0.22,0.09,-0.2,-0.14,0,,0.48,0.47,0.23,0,,46.26,1219.851
"D",4001,"09/01/2024",11,"OFF",22.56,7.74,0.34,0.03,0.33,0,0,0.02,-0.22,-0.14,0,,0.48,0.47,0.23,0,,31.84,1221.289
"D",4001,"09/01/2024",12,"OFF",24.24,7.74,0.34,0.03,0.03,0,0,0.01,-0.24,-0.14,0,,0.48,0.47,0.23,0,,33.19,1234.682
"D",4001,"09/01/2024",13,"OFF",25.73,7.74,0.34,0.03,0,0,0,0.03,-0.22,-0.14,0,,0.48,0.47,0.23,0,,34.69,1240.855
"D",4001,"09/01/2024",14,"OFF",25.57,7.74,0.34,0.03,0,0,0,0.01,-0.27,-0.14,0,,0.48,0.47,0.23,0,,34.46,1251.521
"D",4001,"09/01/2024",15,"OFF",33.06,7.74,0.34,0.03,0,0,0.02,0.03,-0.2,-0.14,0,,0.48,0.47,0.23,0,,42.06,1273.582
"D",4001,"09/01/2024",16,"OFF",27.41,7.74,0.34,0.03,0,0,0,0.01,-0.15,-0.14,0,,0.48,0.47,0.23,0,,36.42,1318.526
"D",4001,"09/01/2024",17,"OFF",23.71,7.74,0.34,0.03,0.15,0,0,0.01,-0.22,-0.14,0,,0.48,0.47,0.23,0,,32.8,1407.593
"D",4001,"09/01/2024",18,"OFF",23.45,7.74,0.34,0.03,0.03,0,0,0.03,-0.2,-0.14,0,,0.48,0.47,0.23,0,,32.46,1509.635
"D",4001,"09/01/2024",19,"OFF",28.89,7.74,0.34,0.03,0,0,0,0.01,-0.23,-0.14,0,,0.48,0.47,0.23,0,,37.82,1514.18
"D",4001,"09/01/2024",20,"OFF",27.38,7.74,0.34,0.03,0,0,0,0.03,-0.25,-0.14,0,,0.48,0.47,0.23,0,,36.31,1510.667
"D",4001,"09/01/2024",21,"OFF",40.03,7.74,0.34,0.03,0,0,0,-0.06,-0.18,-0.14,0,,0.48,0.47,0.23,0,,48.94,1461.655
