"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4000_202412.csv"
"C","Report for: 12 2024"
"C","Report generated: 03/08/2025 14:30:26 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number"
"D",4000,"12/01/2024",01,"OFF",55.86,12339.735
"D",4000,"12/01/2024",02,"OFF",51.55,12069.458
"D",4000,"12/01/2024",03,"OFF",55.34,12576.142
"D",4000,"12/01/2024",04,"OFF",54.46,12640.118
"D",4000,"12/01/2024",05,"OFF",54.17,12511.096
"D",4000,"12/01/2024",06,"OFF",55.61,12728.069
"D",4000,"12/01/2024",07,"OFF",52.06,12539.510
"D",4000,"12/01/2024",08,"OFF",52.64,13009.326
"D",4000,"12/01/2024",09,"OFF",51.02,13222.702
"D",4000,"12/01/2024",10,"OFF",50.49,13348.055
"D",4000,"12/01/2024",11,"OFF",36.13,12980.716
"D",4000,"12/01/2024",12,"OFF",45.07,12664.856
"D",4000,"12/01/2024",13,"OFF",81.71,12710.620
"D",4000,"12/01/2024",14,"OFF",84.71,13020.815
"D",4000,"12/01/2024",15,"OFF",94.29,13677.297
"D",4000,"12/01/2024",16,"OFF",157.45,14535.520
"D",4000,"12/01/2024",17,"OFF",153.96,15769.256
"D",4000,"12/01/2024",18,"OFF",160.64,16421.613
"D",4000,"12/01/2024",19,"OFF",115.93,16273.274
"D",4000,"12/01/2024",20,"OFF",106.03,15921.493
"D",4000,"12/01/2024",21,"OFF",119.72,15419.074
"D",4000,"12/01/2024",22,"OFF",119.80,14638.504
"D",4000,"12/01/2024",23,"OFF",105.89,13658.207
"D",4000,"12/01/2024",24,"OFF",107.23,12825.179
"D",4000,"12/02/2024",01,"OFF",172.33,12845.854
"D",4000,"12/02/2024",02,"OFF",196.00,12966.212
"D",4000,"12/02/2024",03,"OFF",198.03,12881.213
"D",4000,"12/02/2024",04,"OFF",154.98,12952.846
"D",4000,"12/02/2024",05,"OFF",193.54,13310.268
"D",4000,"12/02/2024",06,"OFF",130.14,13581.935
"D",4000,"12/02/2024",07,"OFF",139.09,15024.252
"D",4000,"12/02/2024",08,"ON",126.06,15841.737
"D",4000,"12/02/2024",09,"ON",108.70,15399.313
"D",4000,"12/02/2024",10,"ON",80.51,15045.647
"D",4000,"12/02/2024",11,"ON",89.53,15067.976
