"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4007_202403.csv"
"C","Report for: 03 2024"
"C","Report generated: 03/08/2025 14:29:36 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4007,"03/01/2024",01,"OFF",37.41,10.52,0.35,0.07,0.22,0,0,-0.07,-0.11,-0.13,0,,0.48,0.46,0.23,0,,49.43,1794.677
"D",4007,"03/01/2024",02,"OFF",66.33,10.52,0.35,0.07,0.02,0,0,-0.09,-0.05,-0.13,0,,0.48,0.46,0.23,0,,78.19,1748.256
"D",4007,"03/01/2024",03,"OFF",31.3,10.52,0.35,0.07,0,0,0,-0.04,-0.09,-0.13,0,,0.48,0.46,0.23,0,,43.15,1725.955
"D",4007,"03/01/2024",04,"OFF",41.56,10.52,0.35,0.07,0,0,0.01,-0.13,-0.11,-0.13,0,,0.48,0.46,0.23,0,,53.31,1729.442
"D",4007,"03/01/2024",05,"OFF",23.83,10.52,0.35,0.07,0.05,0,0,-0.01,-0.16,-0.13,0,,0.48,0.46,0.23,0,,35.69,1775.275
"D",4007,"03/01/2024",06,"OFF",46.34,10.52,0.35,0.07,0.43,0,0,-0.12,0.23,-0.13,0,,0.48,0.46,0.23,0,,58.86,1899.364
"D",4007,"03/01/2024",07,"OFF",67.35,10.52,0.35,0.07,0.51,0,0.43,-0.09,-0.06,-0.13,0,,0.48,0.46,0.23,0,,80.12,2073.737
"D",4007,"03/01/2024",08,"ON",46.23,10.52,0.35,0.07,0.72,1.06,0.44,0.02,0.28,-0.13,0,,0.48,0.46,0.23,0,,60.73,2098.23
"D",4007,"03/01/2024",09,"ON",52.64,10.52,0.35,0.07,0.44,1.11,0,-0.08,0.67,-0.13,0,,0.48,0.46,0.23,0,,66.76,1982.317
"D",4007,"03/01/2024",10,"ON",24.06,10.52,0.35,0.07,0.09,1.17,0,-0.05,-0.11,-0.13,0,,0.48,0.46,0.23,0,,37.14,1992.036
"D",4007,"03/01/2024",11,"ON",23.86,10.52,0.35,0.07,0,1.23,0,0.04,-0.05,-0.13,0,,0.48,0.46,0.23,0,,37.06,2344.644
"D",4007,"03/01/2024",12,"ON",20.08,10.52,0.35,0.07,0,1.28,0,0.03,-0.09,-0.13,0,,0.48,0.46,0.23,0,,33.28,2338.124
"D",4007,"03/01/2024",13,"ON",17.78,10.52,0.35,0.07,0,1.33,0,0.05,-0.07,-0.13,0,,0.48,0.46,0.23,0,,31.07,2601.911
"D",4007,"03/01/2024",14,"ON",17.53,10.52,0.35,0.07,0.02,1.34,0,-0.01,-0.08,-0.13,0,,0.48,0.46,0.23,0,,30.78,2780.061
"D",4007,"03/01/2024",15,"ON",17.59,10.52,0.35,0.07,0,1.32,0,0.04,-0.07,-0.13,0,,0.48,0.46,0.23,0,,30.86,2773.2
"D",4007,"03/01/2024",16,"ON",19.18,10.52,0.35,0.07,0,1.26,0,0.04,-0.04,-0.13,0,,0.48,0.46,0.23,0,,32.42,2200.433
