"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4007_202406.csv"
"C","Report for: 06 2024"
"C","Report generated: 03/08/2025 14:29:37 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4007,"06/01/2024",01,"OFF",19.08,11.52,0.15,0.04,0.04,0,0.01,-0.03,-0.14,-0.08,0,,0.48,0.47,0.23,0,,31.77,1391.853
"D",4007,"06/01/2024",02,"OFF",18.34,11.52,0.15,0.04,0,0,0,-0.02,-0.12,-0.08,0,,0.48,0.47,0.23,0,,31.01,1552.971
"D",4007,"06/01/2024",03,"OFF",17.68,11.52,0.15,0.04,0,0,0,-0.01,-0.13,-0.08,0,,0.48,0.47,0.23,0,,30.35,1538.628
"D",4007,"06/01/2024",04,"OFF",17.31,11.52,0.15,0.04,0,0,0,-0.01,-0.13,-0.08,0,,0.48,0.47,0.23,0,,29.98,1517.999
"D",4007,"06/01/2024",05,"OFF",17.28,11.52,0.15,0.04,0,0,0,-0.01,-0.12,-0.08,0,,0.48,0.47,0.23,0,,29.96,1514.923
"D",4007,"06/01/2024",06,"OFF",16.87,11.52,0.15,0.04,0,0,0,0.01,-0.12,-0.08,0,,0.48,0.47,0.23,0,,29.57,1520.051
"D",4007,"06/01/2024",07,"OFF",15.85,11.52,0.15,0.04,0.04,0,0,-0.01,-0.12,-0.08,0,,0.48,0.47,0.23,0,,28.57,1548.424
"D",4007,"06/01/2024",08,"OFF",14.91,11.52,0.15,0.04,0.09,0,0,0,-0.14,-0.08,0,,0.48,0.47,0.23,0,,27.67,1594.221
"D",4007,"06/01/2024",09,"OFF",12.03,11.52,0.15,0.04,0.42,0,0,0.02,-0.1,-0.08,0,,0.48,0.47,0.23,0,,25.18,1779.703
"D",4007,"06/01/2024",10,"OFF",3.35,11.52,0.15,0.04,0.04,0,0,0,-0.04,-0.08,0,,0.48,0.47,0.23,0,,16.16,1907.069
"D",4007,"06/01/2024",11,"OFF",14.11,11.52,0.15,0.04,0,0,0,-0.01,-0.1,-0.08,0,,0.48,0.47,0.23,0,,26.81,1892.926
"D",4007,"06/01/2024",12,"OFF",16.79,11.52,0.15,0.04,0.02,0,0,-0.02,-0.08,-0.08,0,,0.48,0.47,0.23,0,,29.52,1897.374
"D",4007,"06/01/2024",13,"OFF",17.69,11.52,0.15,0.04,0,0,0,0.02,-0.11,-0.08,0,,0.48,0.47,0.23,0,,30.41,1890.307
"D",4007,"06/01/2024",14,"OFF",16.96,11.52,0.15,0.04,0,0,0,-0.01,-0.09,-0.08,0,,0.48,0.47,0.23,0,,29.67,1672.616
"D",4007,"06/01/2024",15,"OFF",16.24,11.52,0.15,0.04,0,0,0,0.02,-0.08,-0.08,0,,0.48,0.47,0.23,0,,28.99,1416.424
"D",4007,"06/01/2024",16,"OFF",15.9,11.52,0.15,0.04,0,0,0,0.01,-0.09,-0.08,0,,0.48,0.47,0.23,0,,28.63,1571.652
"D",4007,"06/01/2024",17,"OFF",16.15,11.52,0.15,0.04,0.07,0,0,0.03,-0.14,-0.08,0,,0.48,0.47,0.23,0,,28.92,1885.564
"D",4007,"06/01/2024",18,"OFF",22.83,11.52,0.15,0.04,0.01,0,0.01,0,0,-0.08,0,,0.48,0.47,0.23,0,,35.66,1801.13
"D",4007,"06/01/2024",19,"OFF",39.01,11.52,0.15,0.04,0,0,0.27,-0.09,-0.07,-0.08,0,,0.48,0.47,0.23,0,,51.93,1888.962
"D",4007,"06/01/2024",20,"OFF",29.61,11.52,0.15,0.04,0,0,0.06,-0.09,-0.19,-0.08,0,,0.48,0.47,0.23,0,,42.2,1885.968
"D",4007,"06/01/2024",21,"OFF",33.92,11.52,0.15,0.04,0,0,0.26,-0.15,-0.14,-0.08,0,,0.48,0.47,0.23,0,,46.7,1854.578
"D",4007,"06/01/2024",22,"OFF",26.59,11.52,0.15,0.04,0,0,0.03,-0.07,0.1,-0.08,0,,0.48,0.47,0.23,0,,39.46,1786.65
"D",4007,"06/01/2024",23,"OFF",17.49,11.52,0.15,0.04,0.07,0,0,-0.09,-0.06,-0.08,0,,0.48,0.47,0.23,0,,30.22,1653.355
"D",4007,"06/01/2024",24,"OFF",15.67,11.52,0.15,0.04,0.31,0,0,-0.03,-0.08,-0.08,0,,0.48,0.47,0.23,0,,28.68,1524.452
"D",4007,"06/02/2024",01,"OFF",18.31,11.52,0.3,0.07,0.17,0,0,-0.04,-0.06,-0.08,0,,0.48,0.47,0.23,0,,31.37,1419.152
"D",4007,"06/02/2024",02,"OFF",16.51,11.52,0.3,0.07,0.02,0,0,-0.03,-0.05,-0.08,0,,0.48,0.47,0.23,0,,29.44,1651.554
"D",4007,"06/02/2024",03,"OFF",14.53,11.52,0.3,0.07,0,0,0,-0.01,-0.04,-0.08,0,,0.48,0.47,0.23,0,,27.47,1619.353
"D",4007,"06/02/2024",04,"OFF",16.67,11.52,0.3,0.07,0,0,0,-0.03,-0.05,-0.08,0,,0.48,0.47,0.23,0,,29.58,1587.976
"D",4007,"06/02/2024",05,"OFF",16.4,11.52,0.3,0.07,0,0,0,-0.08,0.07,-0.08,0,,0.48,0.47,0.23,0,,29.38,1572.484
"D",4007,"06/02/2024",06,"OFF",15.12,11.52,0.3,0.07,0,0,0,-0.05,0.03,-0.08,0,,0.48,0.47,0.23,0,,28.09,1560.566
"D",4007,"06/02/2024",07,"OFF",14.19,11.52,0.3,0.07,1.1,0,0,-0.01,-0.06,-0.08,0,,0.48,0.47,0.23,0,,28.21,1551.283
"D",4007,"06/02/2024",08,"OFF",8.39,11.52,0.3,0.07,0.5,0,0,0,-0.07,-0.08,0,,0.48,0.47,0.23,0,,21.81,1302.017
"D",4007,"06/02/2024",09,"OFF",14.56,11.52,0.3,0.07,0.03,0,0,-0.05,-0.04,-0.08,0,,0.48,0.47,0.23,0,,27.49,1559.518
"D",4007,"06/02/2024",10,"OFF",16.05,11.52,0.3,0.07,0,0,0,0.05,-0.07,-0.08,0,,0.48,0.47,0.23,0,,29.02,1412.388
"D",4007,"06/02/2024",11,"OFF",15.99,11.52,0.3,0.07,0,0,0,-0.04,-0.03,-0.08,0,,0.48,0.47,0.23,0,,28.91,1597.2
"D",4007,"06/02/2024",12,"OFF",16.29,11.52,0.3,0.07,0.03,0,0,-0.04,-0.02,-0.08,0,,0.48,0.47,0.23,0,,29.25,1675.713
"D",4007,"06/02/2024",13,"OFF",16.37,11.52,0.3,0.07,0,0,0,-0.08,0,-0.08,0,,0.48,0.47,0.23,0,,29.28,1780.875
"D",4007,"06/02/2024",14,"OFF",18.01,11.52,0.3,0.07,0,0,0,0.04,-0.02,-0.08,0,,0.48,0.47,0.23,0,,31.02,1709.489
"D",4007,"06/02/2024",15,"OFF",17.67,11.52,0.3,0.07,0,0,0,0.04,0.01,-0.08,0,,0.48,0.47,0.23,0,,30.71,1864.387
"D",4007,"06/02/2024",16,"OFF",17.33,11.52,0.3,0.07,0,0,0,-0.04,-0.05,-0.08,0,,0.48,0.47,0.23,0,,30.23,1720.252
"D",4007,"06/02/2024",17,"OFF",27.27,11.52,0.3,0.07,0,0,0.08,-0.05,0.3,-0.08,0,,0.48,0.47,0.23,0,,40.59,1823.002
