"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4007_202401.csv"
"C","Report for: 01 2024"
"C","Report generated: 03/08/2025 14:29:36 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4007,"01/01/2024",01,"OFF",53.34,8.88,0.34,0.03,0.81,0,0.31,0.05,0.08,-0.37,0,,0.48,0.46,0.23,2.71,,67.35,1900.117
"D",4007,"01/01/2024",02,"OFF",35.63,8.88,0.34,0.03,0.06,0,0,0,-0.09,-0.37,0,,0.48,0.46,0.23,2.71,,48.36,2115.434
"D",4007,"01/01/2024",03,"OFF",29.55,8.88,0.34,0.03,0,0,0,0.02,-0.12,-0.37,0,,0.48,0.46,0.23,2.71,,42.21,2312.497
"D",4007,"01/01/2024",04,"OFF",29.17,8.88,0.34,0.03,0,0,0,0.05,-0.14,-0.37,0,,0.48,0.46,0.23,2.71,,41.84,2451.848
"D",4007,"01/01/2024",05,"OFF",28.14,8.88,0.34,0.03,0,0,0,0.06,-0.15,-0.37,0,,0.48,0.46,0.23,2.71,,40.81,2297.496
"D",4007,"01/01/2024",06,"OFF",27.76,8.88,0.34,0.03,0,0,0,0.04,-0.17,-0.37,0,,0.48,0.46,0.23,2.71,,40.39,2054.689
"D",4007,"01/01/2024",07,"OFF",27.77,8.88,0.34,0.03,0.1,0,0,0.13,-0.2,-0.37,0,,0.48,0.46,0.23,2.71,,40.56,1876.541
"D",4007,"01/01/2024",08,"OFF",25.81,8.88,0.34,0.03,0.09,0,0,0.07,-0.12,-0.37,0,,0.48,0.46,0.23,2.71,,38.61,2092.783
"D",4007,"01/01/2024",09,"OFF",25.62,8.88,0.34,0.03,0.07,0,0,0.03,-0.14,-0.37,0,,0.48,0.46,0.23,2.71,,38.34,2127.467
"D",4007,"01/01/2024",10,"OFF",26.97,8.88,0.34,0.03,0.01,0,0,0.08,-0.1,-0.37,0,,0.48,0.46,0.23,2.71,,39.72,2129.73
"D",4007,"01/01/2024",11,"OFF",27.35,8.88,0.34,0.03,0,0,0,0.06,-0.15,-0.37,0,,0.48,0.46,0.23,2.71,,40.02,2140.565
"D",4007,"01/01/2024",12,"OFF",27.78,8.88,0.34,0.03,0,0,0,0.09,-0.15,-0.37,0,,0.48,0.46,0.23,2.71,,40.48,2152.8
"D",4007,"01/01/2024",13,"OFF",26.28,8.88,0.34,0.03,0,0,0,0,-0.14,-0.37,0,,0.48,0.46,0.23,2.71,,38.9,2091.257
"D",4007,"01/01/2024",14,"OFF",27.45,8.88,0.34,0.03,0,0,0,0,-0.15,-0.37,0,,0.48,0.46,0.23,2.71,,40.06,1943.665
"D",4007,"01/01/2024",15,"OFF",31.1,8.88,0.34,0.03,0,0,0,-0.02,-0.07,-0.37,0,,0.48,0.46,0.23,2.71,,43.77,1681.579
"D",4007,"01/01/2024",16,"OFF",43.66,8.88,0.34,0.03,0,0,0.15,-0.06,0.02,-0.37,0,,0.48,0.46,0.23,2.71,,56.53,1816.146
"D",4007,"01/01/2024",17,"OFF",47.56,8.88,0.34,0.03,0.68,0,0.01,-0.03,-0.01,-0.37,0,,0.48,0.46,0.23,2.71,,60.97,1998.657
"D",4007,"01/01/2024",18,"OFF",50.77,8.88,0.34,0.03,0.06,0,0,0.14,-0.23,-0.37,0,,0.48,0.46,0.23,2.71,,63.5,2130.199
"D",4007,"01/01/2024",19,"OFF",49.59,8.88,0.34,0.03,0,0,0.12,-0.04,-0.18,-0.37,0,,0.48,0.46,0.23,2.71,,62.25,2111.636
"D",4007,"01/01/2024",20,"OFF",47.7,8.88,0.34,0.03,0,0,0,-0.07,-0.11,-0.37,0,,0.48,0.46,0.23,2.71,,60.28,2053.922
"D",4007,"01/01/2024",21,"OFF",55.21,8.88,0.34,0.03,0.79,0,0.05,-0.06,-0.06,-0.37,0,,0.48,0.46,0.23,2.71,,68.69,1992.307
"D",4007,"01/01/2024",22,"OFF",58.77,8.88,0.34,0.03,0.95,0,0.2,-0.09,0.01,-0.37,0,,0.48,0.46,0.23,2.71,,72.6,1902.475
"D",4007,"01/01/2024",23,"OFF",38.95,8.88,0.34,0.03,0.28,0,0.24,-0.05,-0.05,-0.37,0,,0.48,0.46,0.23,2.71,,52.13,1780.529
"D",4007,"01/01/2024",24,"OFF",28.12,8.88,0.34,0.03,0.58,0,0,-0.03,-0.24,-0.37,0,,0.48,0.46,0.23,2.71,,41.19,1725.283
"D",4007,"01/02/2024",01,"OFF",30.9,8.88,1.15,0.11,0.06,0,0,-0.02,-0.31,-0.37,0,,0.48,0.46,0.23,2.51,,44.08,1863.69
