"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4007_202405.csv"
"C","Report for: 05 2024"
"C","Report generated: 03/08/2025 14:29:37 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4007,"05/01/2024",01,"OFF",21.97,11.09,0.49,0.02,0.01,0,0,-0.04,0.09,-0.1,0,,0.48,0.46,0.23,0,,34.7,1977.379
"D",4007,"05/01/2024",02,"OFF",21.18,11.09,0.49,0.02,0,0,0,0.01,0.15,-0.1,0,,0.48,0.46,0.23,0,,34.01,1954.301
"D",4007,"05/01/2024",03,"OFF",20.53,11.09,0.49,0.02,0,0,0,0.01,0.15,-0.1,0,,0.48,0.46,0.23,0,,33.36,1916.379
"D",4007,"05/01/2024",04,"OFF",20.22,11.09,0.49,0.02,0,0,0,0.02,0.14,-0.1,0,,0.48,0.46,0.23,0,,33.05,1905.774
"D",4007,"05/01/2024",05,"OFF",20.18,11.09,0.49,0.02,0,0,0,0.02,0.13,-0.1,0,,0.48,0.46,0.23,0,,33,1894.452
"D",4007,"05/01/2024",06,"OFF",21.7,11.09,0.49,0.02,0.09,0,0.03,0.06,0.21,-0.1,0,,0.48,0.46,0.23,0,,34.76,1569.182
"D",4007,"05/01/2024",07,"OFF",31.38,11.09,0.49,0.02,0.21,0,0.04,0.04,0.23,-0.1,0,,0.48,0.46,0.23,0,,44.57,1576.068
"D",4007,"05/01/2024",08,"ON",36.05,11.09,0.49,0.02,0.18,1.26,0,-0.01,0.21,-0.1,0,,0.48,0.46,0.23,0,,50.36,1687.941
"D",4007,"05/01/2024",09,"ON",36.7,11.09,0.49,0.02,0.01,1.24,0,-0.03,0.23,-0.1,0,,0.48,0.46,0.23,0,,50.82,1710.353
"D",4007,"05/01/2024",10,"ON",31.96,11.09,0.49,0.02,0,1.25,0.02,0.02,0.2,-0.1,0,,0.48,0.46,0.23,0,,46.12,1698.125
"D",4007,"05/01/2024",11,"ON",21.78,11.09,0.49,0.02,0,1.29,0,0,0.11,-0.1,0,,0.48,0.46,0.23,0,,35.85,1684.713
"D",4007,"05/01/2024",12,"ON",20.28,11.09,0.49,0.02,0.01,1.32,0,0,0.08,-0.1,0,,0.48,0.46,0.23,0,,34.36,1756.505
"D",4007,"05/01/2024",13,"ON",20.47,11.09,0.49,0.02,0,1.34,0,0.01,0.11,-0.1,0,,0.48,0.46,0.23,0,,34.6,1873.173
"D",4007,"05/01/2024",14,"ON",19.94,11.09,0.49,0.02,0,1.35,0,0.02,0.12,-0.1,0,,0.48,0.46,0.23,0,,34.1,1834.524
"D",4007,"05/01/2024",15,"ON",20.09,11.09,0.49,0.02,0,1.35,0,-0.02,0.06,-0.1,0,,0.48,0.46,0.23,0,,34.15,1831.226
"D",4007,"05/01/2024",16,"ON",19.95,11.09,0.49,0.02,0,1.32,0,0.08,-0.01,-0.1,0,,0.48,0.46,0.23,0,,34.01,1592.269
"D",4007,"05/01/2024",17,"ON",19.49,11.09,0.49,0.02,0,1.3,0,0.04,-0.03,-0.1,0,,0.48,0.46,0.23,0,,33.47,1606.755
"D",4007,"05/01/2024",18,"ON",20.86,11.09,0.49,0.02,0,1.25,0.1,0,0.01,-0.1,0,,0.48,0.46,0.23,0,,34.89,1687.339
"D",4007,"05/01/2024",19,"ON",28.42,11.09,0.49,0.02,0.61,1.21,0,-0.02,0.02,-0.1,0,,0.48,0.46,0.23,0,,42.91,1750.848
"D",4007,"05/01/2024",20,"ON",33.69,11.09,0.49,0.02,0.11,1.18,0.01,0.01,-0.09,-0.1,0,,0.48,0.46,0.23,0,,47.58,1796.481
"D",4007,"05/01/2024",21,"ON",33.61,11.09,0.49,0.02,0,1.18,0,-0.05,-0.09,-0.1,0,,0.48,0.46,0.23,0,,47.32,1808.116
"D",4007,"05/01/2024",22,"ON",38.19,11.09,0.49,0.02,0.68,1.24,0.17,-0.04,0.14,-0.1,0,,0.48,0.46,0.23,0,,53.05,1722.291
"D",4007,"05/01/2024",23,"ON",25.81,11.09,0.49,0.02,0.27,1.36,0,-0.03,0.14,-0.1,0,,0.48,0.46,0.23,0,,40.22,1628.595
